Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Total
316180 São Gonçalo do Pará,3839.88,4064.88,4608.32,6154.89,8557.05,7336.87,8726.4,9233.66,8438.96,7004.72,9798.25,10560.18,10798.37,7814.23
316190 São Gonçalo do Rio Abaixo,2735.29,2631,3509.24,5186.4,8369.68,17504.36,26933.82,50287.24,88038.56,50651,144826.87,283298.2,227885.15,75392.14
312550 São Gonçalo do Rio Preto,1821.16,2086.82,2488.82,2700.46,2992.51,3438.54,3832.52,4512.64,4800.49,5158.98,5921.41,6542.9,7047.09,4135.91
316200 São Gonçalo do Sapucaí,5222.38,5619.96,5812.33,6806.78,8106.31,8606.79,8813.48,9367.74,11581.26,12266.36,14849.25,17012.28,18312.81,10255.78
316210 São Gotardo,5191.61,5442.07,6020.35,7394.77,8277.09,8624.31,8321.24,8833.39,10691.74,11482.11,13550.16,14704.64,16482.7,9736.78
316220 São João Batista do Glória,20304.84,16537.32,18174.51,29161.02,36425.08,46254.17,49768.17,46689.72,48400.82,47460.65,52115.96,60448.47,63856.94,41743.51
316225 São João da Lagoa,1943.83,2063.38,2251.02,2484.76,2780.34,3167.52,3304.32,3766.86,4754.99,5381.24,7013.81,7454.61,14998.26,4768.13
316230 São João da Mata,3963.07,4027.57,4484.11,4892.61,5962.11,6757.57,7037.36,7315.04,8003.42,8572.39,10199.63,13224.58,13780.29,7534.82
316240 São João da Ponte,1300.84,1468.61,1767.21,1986.82,2212.59,2536.13,2776.55,3195.08,3706.38,4080.25,4696.3,5301.47,5919.28,3141.26
316245 São João das Missões,1005.31,1115.43,1324.88,1470.71,1643.79,1779.96,1809.41,1967.89,2922.03,3185.78,3593.19,4115.94,4229.22,2337.7
316250 São João del Rei,4337.27,4819.92,5228.03,6146.39,7241.03,7413.27,8020.54,8687.41,9846.68,9521.78,11696.69,13408.15,13830.12,8554.4
316255 São João do Manhuaçu,2878.73,2798.25,4139.18,5232.47,6261.35,6610.56,5852.38,6266.77,8594.62,7465.6,9838.6,15203.92,11510.06,7282.84
316257 São João do Manteninha,2170.1,2377.33,2919.84,3280.14,3545.32,4109.24,4370.69,6056.19,6438.58,5753.15,6390.18,7639,8399.87,5005.73
316260 São João do Oriente,2150.7,2318.44,2616.96,3185.62,3566.28,4042.58,4043.26,4384.82,5498.68,5840.36,6806.52,6601.34,7822.15,4467.92
316265 São João do Pacuí,1825.8,2113.4,2298.4,2701.07,2731.88,2972.07,3186.14,3656.02,4107.97,4799.91,5729.55,5857.27,7671.11,3894.1
316270 São João do Paraíso,1557.91,1641.94,1921.39,2411.87,2518.9,2750.87,3058.29,3451.7,4095.77,4317.19,5368.36,5657.26,6103.32,3487.61
316280 São João Evangelista,1986.4,2113.15,2528.77,2819.02,3011.7,3673.68,3738.24,4352.81,4601.19,5066.82,5895.4,6515.06,7876.05,4172.15
316290 São João Nepomuceno,3278.62,3689.83,4193.46,4744.13,5149.97,5799.88,6131.6,5972.93,6818.71,6933.97,8357.73,9221.2,9793.34,6194.02
316292 São Joaquim de Bicas,4528.19,4851.91,5171.22,5297.93,6997.22,8062.74,8586.22,8633.87,11789.43,12865.9,14270.27,14458.01,14523.99,9658.5
316294 São José da Barra,20726.6,16705.9,17727.56,28971.32,36750.11,45421.54,51910.49,46604.06,48144.06,46198,51310.17,60934.32,62655.6,41719.82
316295 São José da Lapa,8927.68,8082.94,7258.5,7394.7,9182.31,9490.74,9979.68,9938.62,13350.03,13312.43,16063.72,18031.7,16344.58,11525.91
316300 São José da Safira,1602.15,1793.12,2227.88,2329.4,2495.11,2757.76,2976.79,3433.75,4112.95,4598.61,5247.49,5797.7,6481.84,3551.34
316310 São José da Varginha,4934.84,5161.25,10478.58,13635.4,11375.3,13647.4,12483.07,14463.56,13191,12233.35,15072.37,20774.41,24760.27,13678.68
316320 São José do Alegre,2136.76,2241.06,2618.26,3007.43,3382.32,3811.17,4254.68,4838.19,5744,6091.88,6867.01,7756.44,8266.18,4717.83
316330 São José do Divino,2303.72,2493.77,3050.69,3555.2,3758.52,4519.3,4714.92,5807.55,6117.06,6141.31,7131.52,7907.1,8502.99,5086.46
316340 São José do Goiabal,1840.39,1986.18,2271.25,2904.44,2789.93,3341.41,3547.31,3824.32,4896.74,5128.78,6753.59,6949.19,7180.4,4062.84
316350 São José do Jacuri,1626.34,1792.91,2160.68,2466.08,2729.23,3200.24,3461.02,4079.2,4138.58,4574.13,5912.56,6110.62,6417.7,3741.86
316360 São José do Mantimento,2080.74,2201.75,2745.8,3113.91,3357.96,3717.98,3981.94,4670.65,5523.79,6472.88,7383.71,9152.21,8885.74,4943.11
316370 São Lourenço,4082.29,4583.35,4951.24,5522.4,6045.17,6226.99,6878.68,7440.53,8323.77,8768.91,10584.65,11637.21,12783.36,7621.78
316380 São Miguel do Anta,2694.71,2704.71,3351.07,3860.28,3690.06,4405.74,4601.11,4944.84,5244.18,5495.61,7006.81,8004.07,8475.23,4968.85
316390 São Pedro da União,3082.26,3210.29,4144.46,4092.12,7064.24,6583.86,8673.33,6713.17,13461.45,10094.21,13903.11,17589.28,18912.5,8763.03
316410 São Pedro do Suaçuí,1762.38,2009.72,2287.52,2852,3165.39,4506.36,5578.96,7551.85,4931.9,5334.4,6597.41,7038.28,7642.19,4608.54
316400 São Pedro dos Ferros,3275.46,3390.58,4125.89,5082.45,5736.97,6554.26,7089.23,7824.63,7697.14,7845.22,9562.23,12178.66,12117.65,7024.5
316420 São Romão,1790.48,1833.93,2204.75,2552.08,3156.59,4318.57,4401.27,5303.93,5623.54,5459.31,5714.21,7161.01,8531,4686.87
316430 São Roque de Minas,4214.84,4363.92,5349.12,6897.17,8841.62,9076.13,9747.26,10856.23,14096.83,16121.39,15691.59,21909.53,18936.42,11345.13
316440 São Sebastião da Bela Vista,4571.68,4657.38,5428.88,5864.88,6708.16,7841.98,8772.68,8543.8,8650.28,10627.08,12081.81,13771.94,13201.41,8680.15
316443 São Sebastião da Vargem Alegre,2609,3117.22,2883.07,3469.43,3849.52,4903.07,4737.54,4898.84,7822.3,6512.27,10182.13,13536.19,11386.16,6206.7
316447 São Sebastião do Anta,1652.37,2312.14,2815.33,2833.61,3440.69,4889.45,5830.22,6450.36,6381.59,6215,6522.05,8185.18,8386.92,5213.76
316450 São Sebastião do Maranhão,1194.63,1367.5,1717.99,1870.47,2101.22,2457.76,2740.47,3159.74,3263.13,3653.47,4674.14,5327.67,5485.1,2970.83
316460 São Sebastião do Oeste,4282.08,5428.69,6784.7,8207.98,9403.25,11155.01,12056.52,20031.22,25091.62,24882.18,33886.51,37867.95,42652.99,20053.91
316470 São Sebastião do Paraíso,5842.54,5892.65,7167.52,7525.45,9139.03,9179.44,10543.47,10943.28,14184.7,14126.1,17044.66,17349.46,18658.41,11495.09
316480 São Sebastião do Rio Preto,1993.53,2197.46,2471.2,2786.13,3311.46,4030.39,4418.08,5008.58,5053.79,5580.48,7077.02,7992.35,9116.89,4643.26
316490 São Sebastião do Rio Verde,2649.15,2776.82,3214.14,3665.49,3970.55,4555.41,4940.85,5646.03,6195.81,6384.83,8265.64,8424.86,9506.49,5457.3
316520 São Thomé das Letras,3011.7,3151.1,3454.98,5068.28,5924.46,6269.48,6320.33,5908.32,7191.18,7433.98,9555.61,9527.37,9624.49,6401.83
316500 São Tiago,3117.58,3739.81,4996.31,6886.11,5139.97,5193.48,5205.21,5569.86,6377.27,6658.52,7731.68,8499.19,9925.36,6092.76
316510 São Tomás de Aquino,4948.37,4576.2,5708.96,5258.34,8105.74,7147.7,10005.25,8223.85,12080.87,10444.32,14797.2,15108.72,17860.86,9484.75
316530 São Vicente de Minas,4093.07,3871.4,4326.87,5420.22,5398.18,6427.74,6701.96,7736.84,10485.74,10228.59,10953.29,11953.3,13932.56,7933.23
316540 Sapucaí-Mirim,2826.83,2926.66,3452.27,3941.85,4264.39,4443.48,5487.57,4730.59,5894.88,6361.73,7676.11,9772.1,11431.94,5718.44
316550 Sardoá,1615.84,2125.96,2065.71,2257.32,2540.48,2817.71,3173.06,3712.63,4524.3,4384.14,6434.17,6288.36,6247.2,3805.87
316553 Sarzedo,3608.79,3548.9,5418.08,5566.27,5029.75,5289.88,5839.35,7762.64,8872.11,9177.93,12826.88,19115.14,20380.36,9271.74
316556 Sem-Peixe,1994.63,2031.47,2409.3,2905.14,3165.75,3736.01,3991.04,4902,4987.11,5374.44,6442.22,7199.55,9041.32,4427.21
316557 Senador Amaral,3644.61,3684.57,4090.48,4473.38,4414.09,4839.55,5076.67,5213.4,8678.84,9479.85,10981.37,8916.02,9732.42,6345.31
316560 Senador Cortes,2682.81,2812.67,3258.65,3801.4,3965.27,4521.06,4759.1,5384.62,6745.67,6767.6,7994.99,8382.15,9111.36,5386.41
316570 Senador Firmino,1917.15,2218.14,2564.32,3059.38,3890.23,4472.75,4832.66,4885.15,5215.49,5250.47,6241.89,6516.11,7580.11,4571.05
316580 Senador José Bento,3264.31,4066.6,4497.66,5125.18,6580.66,6695.22,6043.94,6368.99,12571.45,13833.61,11578.08,13706.69,13373.39,7775.12
316590 Senador Modestino Gonçalves,2947.99,2260.36,2339.5,2548.01,2852.54,3272.66,3475.46,4166.12,5080.13,4920.21,6749.85,7068.01,7027.21,4127.94
316600 Senhora de Oliveira,1867.14,1988.66,2418.01,2789.73,3140.11,3440.5,3650.74,4112.96,5190.77,5137.69,6377.11,7141.34,7520.74,4205.67
316610 Senhora do Porto,1738.87,1924.58,2216.02,2573.26,2766.07,3234.06,3573.5,4184.44,4598.59,4804.92,5803.37,6272.67,7189.91,3922.13
316620 Senhora dos Remédios,1585.94,1835.21,2363.51,2462.7,2733.93,3066.77,3163.48,3858.21,4268.91,4592.2,5336.07,5873.09,6511.48,3677.01
316630 Sericita,2187.8,2985.78,2998.53,2893.06,3432.06,4389.52,4175.47,4099.07,4981.39,5341.25,5696.12,9171.06,10880.02,4863.18
316640 Seritinga,2820.21,3110.09,3714.62,4164.1,4604.43,5368.87,6062.26,6433.84,7237,7667.06,8874.99,9564.08,10334.93,6184.26
316650 Serra Azul de Minas,1366.82,1566.52,1837.83,2149.85,2265.26,2530.82,2820.47,3102.85,3734,3871.3,4599.29,5088.86,5611.87,3118.38
316660 Serra da Saudade,4651.45,4683.05,5454.08,6825.84,7431.77,8119.63,8829.84,9997,11150.23,11614.66,13768.82,14587.65,15087.8,9321.13
316680 Serra do Salitre,6615.89,7723.37,9868.8,10013.57,12500.1,12012.87,13323.13,12383.16,17150.22,16486.73,22149.82,20480.83,31985.97,15051.75
316670 Serra dos Aimorés,2825.94,3245.8,3697.94,4137.96,5081.73,6728.79,9740.91,9227.25,8752.92,9857.93,10594.85,11635.38,12088.29,7569.25
316690 Serrania,3842.78,4261.64,4928.1,5248.69,6857.58,6029.95,7373.82,6984.16,9577.46,9832.18,14933.54,13452.01,13248.41,8179.67
316695 Serranópolis de Minas,1425.64,1556.67,1871.1,1972.35,2235.92,2765.65,3054.17,3805.07,3776.15,3984.79,4781.58,5166.39,5306.22,3276.99
316700 Serranos,2698.29,2956.66,3472.58,4154.03,4352.64,4996.35,4962.72,5725.91,6808.01,7396.54,8642.04,8921.27,10358.04,5774
316710 Serro,1940.44,2099.44,2387.79,2736.93,3044.76,3410.69,3558.39,3992.83,4837.75,5251.79,6117.72,6668.96,7418.25,4096.25
316720 Sete Lagoas,5421.38,7341.33,7461.46,8894.33,13244.61,13054.74,13266.1,17865.89,21356.29,18209.81,26774.88,27710.69,27539.62,16385.31
316555 Setubinha,1070.34,1103.65,1423.2,1604.6,1923.93,2239.51,2633.27,2778.23,2909.11,3216.2,3852.92,4428.34,4545.6,2674.1
316730 Silveirânia,2590.38,2810.89,3271.45,3734.76,3913.29,4508.51,4969.82,5381.25,6152.32,6735.3,7430.61,7911.47,9297.96,5300.54
316740 Silvianópolis,4177.88,4413.05,5217.26,5808.75,6578.44,7093.16,7520.71,7752.97,9253.25,9877.87,12101.59,14036.24,14436.15,8380.4
316750 Simão Pereira,2995.26,3851.3,4440.86,4947.32,5483.48,6030.69,6380.15,6888.69,7138.3,8088.37,9848.98,10708.02,11569.58,6822.51
316760 Simonésia,2011.45,2029.79,2943.85,2851.43,4436.78,4394.68,4049.83,4215.98,5115.31,5408.05,6870.74,9185.52,8083.74,4803.82
316770 Sobrália,2167.67,2354.22,2819.36,3218.28,3467.38,3900.48,4257.23,4663.77,5057.49,5333.86,6146.87,6878.72,7347.1,4395.4
316780 Soledade de Minas,2492.38,2624.16,3161.19,3599.56,3770.45,4669.57,4926.98,5298.16,5793.16,6013.81,6929.51,7527.69,8165.44,5069.73
316790 Tabuleiro,2318.5,2468.26,2873.4,3253.32,3340.23,3742.82,3816.39,4390.33,5446.69,6059.95,7429.98,8348.68,8891.16,4673.62
316800 Taiobeiras,1830.39,2100.31,2421.89,2746.99,2994.07,3470.17,3834.87,4145.8,4895.36,5186.68,6573.87,7772.45,8665.5,4440.48
316805 Taparuba,2101.68,2341.01,2573.08,3052.44,3229.38,3655.08,3770.41,4248.04,5116.76,5642.63,6985.54,7412.91,8550.93,4471.96
316810 Tapira,27238.31,28510.69,38006.22,47519.83,61276.94,49740.1,46075.28,44269.98,57245.63,61335.63,82589.65,70295.16,74325.79,54126.71
316820 Tapiraí,5861.98,9285.96,8528.77,9402.07,11475.51,14218.27,13408.17,17022.99,14186.88,15316.1,16872.13,21516.16,23684.54,13903.57
316830 Taquaraçu de Minas,3771.32,4254.52,3229.86,3659.52,5606.47,5419.95,5810.78,6528.71,7607.12,8023.99,9916.92,11460.21,10676.26,6711.14
316840 Tarumirim,2094.47,2251.73,2465.59,2879.16,3177.25,3838.27,4433.65,5056.12,4760,5209.99,6173.02,6969.51,7720.67,4406.08
316850 Teixeiras,2389.31,2591.92,2772.07,3142.89,3483.55,3859.63,4113.31,12844.77,13779.19,8881.36,6462.94,7071.57,8135.93,6187.28
316860 Teófilo Otoni,3144.82,3619.86,4045.93,4513.49,5029.54,5789.7,6114.84,6919.43,7991.74,8883.35,9509.94,10190.6,10919.77,6710.89
316870 Timóteo,12160.88,12717.64,14401.77,16963.63,24297.45,23119.14,24785.07,28576.23,29669.76,21517.31,26364.91,24503.85,22723.99,21899.48
316880 Tiradentes,3475.14,3835.16,4542.14,5390.24,8250.37,7895.16,7091.9,8765.14,8786.88,9396.55,10425.32,9933.85,9951.57,7673.18
316890 Tiros,3936.07,4914.25,4812.75,7610.38,8120.56,9523.32,9101.05,11270.87,11471.09,12106.12,17494.2,22036.33,22321.25,10990.49
316900 Tocantins,2878.26,3127.87,3445.4,3815.54,4181.22,4670.7,5162.83,5240.88,6505.22,7351.02,8297.89,9053.01,10152.17,5709.34
316905 Tocos do Moji,2701.07,2528.94,2914.43,3167.79,4607.75,5280.06,3899.65,4193.84,4916.85,5530.21,6413.33,6723.59,7212.08,4636.16
316910 Toledo,2356.89,2973.94,3278.84,3773.33,4236.02,4462.66,4330.77,4668.81,5675.19,8030.6,5802.84,5861.11,7073.37,4875.98
316920 Tombos,2332.05,2446.58,2777.49,3163.74,3098.36,3428.56,3742.61,3497.21,5843.32,6291.6,7149.15,8200.32,8900.62,4414.94
316930 Três Corações,7236.4,8118.66,8832.55,11028.13,13064.7,13452.5,15122.44,15962.15,18155.79,17628.92,24163.17,25739.14,25894.38,15962.59
316935 Três Marias,12126.16,11774.94,16019.51,20741.46,26457.14,29435.64,39426.01,39083.63,28993.09,31614.13,34447.53,34968.09,30500.62,27783.96
316940 Três Pontas,5340.31,5147.94,6364.68,6365.63,8210.35,8012.14,10209.92,9237.34,10544.62,10023.41,13704.88,13373.88,15837.33,9463.7
316950 Tumiritinga,2063.53,2186.84,2473.91,2948.38,3204.22,3534.86,3708.62,4141.7,5124.29,5573.64,6153.95,6372.11,6967.35,4231.12
316960 Tupaciguara,5052.1,5901.71,7064.84,8350.01,8939.07,8828.46,9050.99,10014.08,11782.23,12402.6,12928.23,16946.1,17145.42,10393.46
316970 Turmalina,1692.64,2159.21,2282.89,2764.02,3005.82,3658.42,3832.02,4312.65,5468.87,5603.72,7056.42,10168.64,10800.92,4979.95
316980 Turvolândia,4357.05,4500.46,6271.01,6972.26,8342.45,9105.92,10573.34,10755.69,13015.98,13203.67,14926.38,18877.77,20326.69,11031.89
316990 Ubá,4247.7,4445.3,5042.18,5749.62,6765.7,7232.44,8010.49,8454.4,9990.29,11071.79,13557.91,14182.8,14859.1,8943.35
317000 Ubaí,1577.25,1721.57,2019.06,2278.62,2315.38,2769.78,3090.71,3521.81,3780.36,4088.87,4634.58,4997.22,5181.27,3280.61
317005 Ubaporanga,2302.9,2783.93,2754.84,2809.09,3377.81,4120.94,3900.64,4377.59,5196.33,5579.57,5989.44,7650.28,7428.8,4488.9
317010 Uberaba,8482.46,10233.88,11542.43,14606,15391.84,14659.65,15665.61,18654.59,21248.05,21893.2,24174,26604.26,30957.38,18364.55
317020 Uberlândia,10222.23,10761.6,12155.68,14073.65,15335.6,15714.11,17230.78,20312.34,22899.47,25367.89,30275.68,30516.51,34575.29,20433.36
317030 Umburatiba,2360.94,2626.97,3384.16,3691.16,3810.7,4412.7,4776.43,5168.18,6105.32,6521.81,7546.33,8062.87,8872.73,5139.37
317040 Unaí,5546.84,5971.66,8347.94,10601.73,11048.58,11030.17,10192.03,12616.2,17211.93,16827.73,18036.27,21880.05,25469.97,13640.83
317043 União de Minas,7253.79,7033.89,8338.02,10926.99,11894.6,12058.37,11862.54,13274.82,16406.82,19121.06,28518.44,44448.69,26748.06,16433.31
317047 Uruana de Minas,4123.76,3395.04,4022.07,6878.27,7917.54,8256.44,6402.68,6713.97,10652.01,10686.92,8833.24,9496,10708.36,7445.46
317050 Urucânia,3711.75,3899.07,4546.97,4937.81,5862.47,6550.72,8405.97,7863.53,8046.9,8746.06,10849.06,15327.2,16864.89,8115.85
317052 Urucuia,1722.98,2038.78,2483.2,4593.89,4829.32,3575.3,3941.67,4620.19,5369.62,5562.99,5261.49,6176.18,6214.91,4493.32
317057 Vargem Alegre,1983.87,2094.55,2285.13,2540.03,2892.01,3116.76,3448.53,3634.28,4840.22,4727.13,6513.16,6461.56,6580.87,3898.89
317060 Vargem Bonita,3669.67,4064.8,4906.59,5699.67,7379.2,7961.68,8645.67,8942.33,9541.44,10834.32,12739.25,15672.4,14553.31,8790.94
317065 Vargem Grande do Rio Pardo,1426.19,1592.72,1805.24,3050.66,2196.09,2549.22,2896.15,3170.91,4089.1,4394.19,5537.84,5796.16,6233.89,3462.24
317070 Varginha,9418.07,9736.97,11084.35,12297.9,13978.66,17163.86,18313.78,22939.89,23625.65,24989.32,32144,32512.33,32003.46,20326.27
317075 Varjão de Minas,6283.5,6369.15,8596.16,8580.01,11604.7,13573.43,11708.29,13819.22,13309.61,13772.64,14410.58,19099.78,19103.39,12694.91
317080 Várzea da Palma,6724.79,7153.13,8362.01,10758.29,14370.42,14525.48,15061.84,15326.84,17016.07,13465.85,15861.52,17192.61,16573.41,13408.88
317090 Varzelândia,1570.33,1757.5,2027.81,2150.41,2462.35,2603.81,2658.41,2939.06,3785.96,3982.98,4634.18,5196.87,5692.54,3179.48
317100 Vazante,5245.74,5251.98,6431.26,8682.42,10106.17,11294.36,10538.39,11843.1,14788.98,14973.51,22348.9,21941.7,20264.93,12699.97
317103 Verdelândia,2726.2,2762.42,3506.46,3857.7,4269.88,5021.98,6382.69,5834.71,7354.16,7639.28,8164.25,9484.26,9389.04,6016.11
317107 Veredinha,1921.72,2427.86,2430,3257.71,2623.7,2746.99,3153.79,3713.9,4624.46,3991.73,7885,8856.16,9651.37,4432.17
317110 Veríssimo,9215.36,10947.15,10906.01,13455.55,21000.18,20997.41,21028.11,20423.77,18275.01,19463.42,28100.64,33963.08,31343.99,20512.65
317115 Vermelho Novo,3211.76,2839.47,2794.35,3037.48,3949.69,5073.25,5175.98,4676.14,5613.19,6196.6,7135.95,8169.7,8960.11,5151.53
317120 Vespasiano,7427.66,8447.31,7578.84,8217.84,7246.45,6999.21,7446.12,7994.21,10026.04,10552.89,12572.6,15264.29,16977.07,10000.62
317130 Viçosa,3261.95,3639.72,4093.24,4751.86,5279.42,5724.41,6116.55,6711.8,7687.08,8149.37,9600.31,11256.07,12210.41,6887.6
317140 Vieiras,2296.88,2804.81,2571.5,3278.92,3541.41,4154.38,5600.49,5801.39,6668.17,7555.33,8377.47,12197.91,10030.33,5683.55
317160 Virgem da Lapa,1406.11,1602.93,1887.81,2199.55,2465.67,2663.04,3067.68,3322.8,3437.08,3808.8,4503.13,6050.69,5636.56,3239.2
317170 Virgínia,2803.69,3374.69,3499.95,4135.6,4099.74,4769.94,5036.44,6213.21,7059.7,9425.45,9628.98,10185.69,10655.92,6202.73
317180 Virginópolis,1977.84,2141.94,2594.09,3039.66,3332.79,3978.24,4509.93,5489.27,5324.47,5562.95,6655.05,7270.2,8379.22,4637.22
317190 Virgolândia,1891.14,1854.14,2201.43,2462.27,2777.77,3327.01,3630.66,4245.73,4633.61,5076.06,5825.49,6655.19,7341.78,3956.31
317200 Visconde do Rio Branco,5098.45,5661.07,6882.28,8095.41,9564.77,10101.33,10532.56,11249.18,12761.26,13479.44,15265.02,16996.18,17951.47,11268.93
317210 Volta Grande,3149.38,3347.46,3800.02,4461.37,4839.42,5278.74,6408.63,7772.74,9451.52,9755.3,14948.58,16873.3,9742.55,7715.56
317220 Wenceslau Braz,2299.44,2464.81,2853.38,3125.61,3492.04,3832.06,4273.54,4506.2,5730.09,6280.78,6911.82,7572.97,8491.84,4734.3
320010 Afonso Cláudio,3592.63,3059.15,3728.39,3932.13,4186.86,4642.66,5194.66,5824.08,6186.69,6848.64,7853.86,8428.19,9420.37,5565.22
320016 Água Doce do Norte,2710.28,2585.9,3155.46,3574.09,4384.32,5001.65,5870.37,7324.22,7814.84,7593.8,7272.22,8150.73,9384.16,5688.5
320013 Águia Branca,4326.22,3924.75,3705.62,4607.77,5394.14,7002.67,7687.19,12095.09,10589.02,9926.81,11241.15,13960.35,14936.62,8406.02
320020 Alegre,3642.08,3376.12,3285.93,3966.03,4638.6,4897.39,5449.06,5786.47,6794.1,7150.38,7961.69,8540.99,9480.44,5733.92
320030 Alfredo Chaves,3646.87,3069.71,3065.29,3856.93,4348.48,5336.68,6642.67,7383.09,8521.48,8845.41,11469.41,12155.59,13014.25,7052.45
320035 Alto Rio Novo,3380.46,3195.8,3252.09,3793.47,4669.01,4856.18,6302.46,8302.92,7565.64,7779.6,7397.27,8566.94,9316.01,6037.36
320040 Anchieta,24930,20066.83,25695.33,26864.62,42656.89,61391.25,53197,54101.85,117603.36,108452.84,175120.76,178056.02,207431.28,88334.75
320050 Apiacá,3307.14,2846.76,3059.92,3851.69,4464.29,4456.84,4839.94,5232.55,6186.98,6221.85,6782.91,7915.37,8897.6,5218.07
320060 Aracruz,16667.01,16021.16,20180.58,26997.43,26147.11,31243.41,36244.64,31472.01,32742.95,25122.44,34675.5,41018.5,43972.06,30053.58
320070 Atilio Vivacqua,4792,4696.72,5539.94,6188,8059.49,8770.87,9753.93,9704.83,9858.42,10584.38,11906.54,14034.73,15629.9,9375.74
320080 Baixo Guandu,3467.82,3657.64,4289.79,4664.53,5240.03,5620.99,6776.16,7475.91,7797.54,7879.86,9547.54,10570.97,12153.83,6906.48
320090 Barra de São Francisco,3241.64,3244.91,3564.12,4508.9,5605.66,6514.96,7255.17,8219.43,8087.85,9489.34,10635.32,11323.6,13678.7,7437.9
320100 Boa Esperança,3852.01,4528.71,4791.54,5293.41,6509.39,7861.01,8826,9866.56,11397.64,11727.54,10689.59,13029.63,13811.3,8638.82
320110 Bom Jesus do Norte,3539.35,3430.11,3501.24,4012.12,4755.22,4737.83,5289.68,5544.49,6582.64,6826.9,8050.81,8614.19,9410.09,5713.68
320115 Brejetuba,4102.95,2523.06,6371.32,5228.58,6927.29,7038.28,6632.51,8254.11,11876.65,10185.97,11229.62,14995.83,15832.49,8499.78
320120 Cachoeiro de Itapemirim,5374.92,6273.64,6423.14,7378.43,8643.36,8767.53,10210.37,10429.72,11274.17,11897.62,14223.2,15445.84,17084.5,10350.7
320130 Cariacica,3833.73,4093.68,4417.91,4936.2,5840.9,6598.11,6746.44,8288.54,10005.09,10556.69,14062.55,17455.44,19212.59,9008.5
320140 Castelo,4365.35,4274.7,4264.4,5195.93,6503.56,6551.89,7614.47,8070.16,9003.81,9700.35,10992.8,12594.48,13726.15,7956.73
320150 Colatina,5811.38,6491.79,6722.43,7552.34,8637.74,9690.68,10845.71,12111.46,14226.83,15555.91,16411.06,18686.16,20405.32,11856.78
320160 Conceição da Barra,8317.36,6469.99,9905.27,8944.09,12706.03,14259.56,14150.97,14364.19,12160.69,14936.38,17198.47,16066.03,14985.09,12729.71
320170 Conceição do Castelo,4136.94,3859.42,4768.69,4933.14,5952.26,6797.1,7094.51,8693.1,7704.74,8343.92,9499.16,11438.31,11667.32,7366.56
320180 Divino de São Lourenço,3617.31,3316.5,3103.52,3666.47,4847.99,4929.39,5352.14,5759.01,6857.18,6981.6,8153.69,9433.22,10684.16,5816.33
320190 Domingos Martins,5103.62,4445.46,4444.03,5625.75,6273.92,6703.05,7160.98,7577.33,8876.5,9504.4,10581.18,11502.88,13900.35,7836.09
320200 Dores do Rio Preto,3724.72,3965.7,3839.12,4804.68,5393.89,5748.32,6606.25,6533.02,7683.07,7533.33,8338.66,10436.52,12243.66,6683.25
320210 Ecoporanga,3710.22,3572.32,3908.78,4528.28,5669.87,6899.59,9445.74,9356.23,9176.58,9582.06,11241.65,11723.23,14408.23,7906.28
320220 Fundão,4595.69,4726.3,5424.31,5703.29,7894.96,9181.58,16366.97,19519.72,17825.53,11961.22,16133.75,18895.13,19068.38,12606.36
320225 Governador Lindenberg,,4475.87,4599.84,5207.77,6398.56,6817.82,6448.55,10109.83,9779.41,9179.56,8646.21,13342.01,14572.18,8454.4
320230 Guaçuí,3876.18,3626.71,3962.53,4726.49,5355.34,5316.65,5816.84,6242.52,7475.4,8808.88,8564.23,10186.9,14850.77,6895.3
320240 Guarapari,4176.77,4276.43,4480.13,4916.37,5663.13,5716.65,6308.35,6792.39,7735.81,8834.38,10065.93,10658.81,11393.12,7114.89
320245 Ibatiba,3179.38,3184.59,3626.34,3390.66,4106.69,4784.4,5489.25,5514.59,7378.55,8397.61,8432.74,9593.88,10934.8,6102.94
320250 Ibiraçu,7541.9,7535.63,7979.91,8584.81,12652.72,14453.97,14494.2,17631.78,18384.91,16444.86,17415.93,17879.17,15718.97,13709.66
320255 Ibitirama,3658.57,3144.31,2905.55,3711.97,4534.3,4576.97,5071.25,5883.26,7071.97,6890.3,8561.45,9699.5,11441.04,5863.97
320260 Iconha,4394.28,4741.75,5269.39,6140.31,7692.38,9659.25,8981.79,10439.94,12554.87,12580.83,12869.62,14356.79,15534.11,9720.32
320265 Irupi,4892.11,4082.57,4622.32,4658.48,5855.05,6334.81,7435.5,7743.02,8526.28,8334.56,8998.2,15536.8,16315.97,8106.15
320270 Itaguaçu,6184.16,6247.53,4739.77,5665.98,5741.34,7042.82,8151.7,9683.69,9056.27,10205.29,10032.69,13457.28,16287.38,8599.69
320280 Itapemirim,4829.77,4069.18,4958.22,6435.22,8120.92,9496.36,8205.71,18031.12,22204.56,14587.26,26014.12,94760.55,130801.25,27434.3
320290 Itarana,4799.74,4094.99,3883.19,4740.78,5013.04,5048.82,6152.85,6546.31,8495.11,8298.34,9539.78,9938.35,10720.33,6630.81
320300 Iúna,5573.24,3867.68,4180.75,4091.76,5650.44,4945.66,6190.11,6326.09,8623.67,8844.7,8517.75,9996.56,12174.67,6845.98
320305 Jaguaré,7096.04,9264.08,9385.11,8904.3,14441.75,17180.55,20768.24,22121.27,19276.85,14203.28,16044.68,22479.9,24705.08,16215.66
